name,count,overall_accuracy,switch_accuracy,stale_memory_error,missed_reset_rate,false_reset_rate,boundary_f1,retention_calibration,sequence_success,force_overshoot,lifecycle_score
adversarial_stale_memory,24640,0.836552,0.786313,0.330529,0.250717,0.173888,0.611483,0.858856,0.735278,0.154002,0.628713
boundary_flips,24640,0.870333,0.828181,0.244822,0.217824,0.149347,0.658723,0.883369,0.775761,0.117135,0.686761
clean,24640,0.893251,0.854361,0.195656,0.194331,0.122911,0.692393,0.900416,0.802435,0.093062,0.725198
delayed_boundary,24640,0.866536,0.811242,0.256583,0.241392,0.145570,0.629372,0.882833,0.768063,0.122257,0.672464
force_drift,24640,0.846958,0.811640,0.299276,0.214410,0.177664,0.632890,0.873792,0.752889,0.141106,0.653716
missing_boundary,24640,0.864078,0.814051,0.260774,0.234165,0.151234,0.636043,0.879638,0.766782,0.124404,0.671868
object_stiffness_shift,24640,0.848069,0.808409,0.299525,0.223303,0.170112,0.634082,0.869519,0.752081,0.140740,0.653020
phase_reordering,24640,0.853991,0.806941,0.285586,0.236078,0.158787,0.634126,0.866310,0.755822,0.135325,0.657804
sensor_dropout,24640,0.851200,0.814811,0.286496,0.218673,0.164447,0.642209,0.858315,0.756768,0.137887,0.659623
