name,count,overall_accuracy,switch_accuracy,stale_memory_error,missed_reset_rate,false_reset_rate,boundary_f1,retention_calibration,sequence_success,force_overshoot,lifecycle_score
exponential_decay,704,0.861236,0.801143,0.243530,0.200377,0.177007,0.748685,0.888413,0.770963,0.120962,0.688249
flat_transformer,704,0.832529,0.669838,0.442981,0.338239,0.078323,0.113039,0.950225,0.691168,0.194685,0.514127
full_trace_attention,704,0.837171,0.668472,0.451948,0.333406,0.078390,0.127439,0.965415,0.689251,0.197247,0.517426
gru_memory,704,0.873110,0.813095,0.237475,0.193483,0.175949,0.755381,0.919339,0.778316,0.117049,0.702139
hard_regime_reset,704,0.885704,0.915876,0.136202,0.132363,0.163997,0.827532,0.865970,0.814065,0.092083,0.765492
hysteresis_reset,704,0.890931,0.915876,0.139424,0.141828,0.165477,0.818932,0.891393,0.827819,0.078289,0.769429
learned_forget_gate,704,0.892185,0.888557,0.167323,0.156281,0.168310,0.801154,0.919853,0.818414,0.086072,0.755813
learned_reset_classifier,704,0.893206,0.908909,0.146302,0.146377,0.166165,0.814398,0.903309,0.827179,0.078745,0.767371
noisy_boundary_reset,704,0.882457,0.887843,0.163419,0.151936,0.167671,0.805913,0.881130,0.808543,0.094217,0.748572
oracle_lifecycle_memory,704,0.915147,0.976088,0.083931,0.120320,0.161540,0.843185,0.929463,0.874658,0.039935,0.818889
