name,count,overall_accuracy,switch_accuracy,stale_memory_error,missed_reset_rate,false_reset_rate,boundary_f1,retention_calibration,sequence_success,force_overshoot,lifecycle_score
force_only,27720,0.850481,0.803590,0.274569,0.227073,0.158538,0.632514,0.874380,0.762063,0.129365,0.660027
force_torque,27720,0.857935,0.812510,0.272691,0.226004,0.157458,0.639118,0.874684,0.763135,0.128227,0.666514
multimodal_noisy,27720,0.863068,0.824036,0.273741,0.224506,0.155945,0.648354,0.875110,0.762723,0.131948,0.672281
proprio_force,27720,0.856550,0.809654,0.272834,0.226357,0.157817,0.636916,0.874583,0.763029,0.127912,0.664929
tactile_array,27720,0.859613,0.816988,0.272775,0.225431,0.156881,0.642633,0.874847,0.763142,0.129190,0.668732
tactile_force,27720,0.863727,0.821042,0.272219,0.224932,0.156377,0.645710,0.874989,0.763476,0.129121,0.671859
vision_force,27720,0.859821,0.813402,0.273673,0.225861,0.157314,0.639991,0.874725,0.762637,0.129855,0.667234
wrist_force_slip,27720,0.860778,0.819620,0.273494,0.225075,0.156522,0.644828,0.874948,0.762800,0.130752,0.669907
