task,phase,stale_memory_pressure
peg_insertion,free_space_approach,0.321360
peg_insertion,first_contact,0.629680
peg_insertion,preload,0.650232
peg_insertion,stick_slip,0.746064
peg_insertion,sliding_contact,0.636240
peg_insertion,insertion,0.741160
peg_insertion,jam,0.786608
peg_insertion,release,0.684528
peg_insertion,regrasp,0.687936
peg_insertion,tool_change,0.706832
peg_insertion,compliance_settling,0.699304
peg_insertion,torque_ramp,0.713168
peg_insertion,handoff_contact,0.683040
peg_insertion,post_contact_retreat,0.512864
slot_insertion,free_space_approach,0.318000
slot_insertion,first_contact,0.615920
slot_insertion,preload,0.635800
slot_insertion,stick_slip,0.729040
slot_insertion,sliding_contact,0.622640
slot_insertion,insertion,0.723720
slot_insertion,jam,0.768240
slot_insertion,release,0.669680
slot_insertion,regrasp,0.672480
slot_insertion,tool_change,0.690960
slot_insertion,compliance_settling,0.683400
slot_insertion,torque_ramp,0.696560
slot_insertion,handoff_contact,0.668000
slot_insertion,post_contact_retreat,0.503360
drawer_pull,free_space_approach,0.300960
drawer_pull,first_contact,0.546640
drawer_pull,preload,0.565752
drawer_pull,stick_slip,0.646224
drawer_pull,sliding_contact,0.556560
drawer_pull,insertion,0.638920
drawer_pull,jam,0.678608
drawer_pull,release,0.597648
drawer_pull,regrasp,0.596736
drawer_pull,tool_change,0.613232
drawer_pull,compliance_settling,0.607144
drawer_pull,torque_ramp,0.615728
drawer_pull,handoff_contact,0.594240
drawer_pull,post_contact_retreat,0.454784
latch_release,free_space_approach,0.314880
latch_release,first_contact,0.603280
latch_release,preload,0.623256
latch_release,stick_slip,0.714192
latch_release,sliding_contact,0.610800
latch_release,insertion,0.708520
latch_release,jam,0.752144
latch_release,release,0.656784
latch_release,regrasp,0.658848
latch_release,tool_change,0.676976
latch_release,compliance_settling,0.669832
latch_release,torque_ramp,0.682064
latch_release,handoff_contact,0.654720
latch_release,post_contact_retreat,0.494432
cable_threading,free_space_approach,0.325440
cable_threading,first_contact,0.646160
cable_threading,preload,0.666328
cable_threading,stick_slip,0.765136
cable_threading,sliding_contact,0.651440
cable_threading,insertion,0.760680
cable_threading,jam,0.807312
cable_threading,release,0.701072
cable_threading,regrasp,0.705504
cable_threading,tool_change,0.724848
cable_threading,compliance_settling,0.716616
cable_threading,torque_ramp,0.731792
cable_threading,handoff_contact,0.700160
cable_threading,post_contact_retreat,0.524576
wiping,free_space_approach,0.291840
wiping,first_contact,0.509200
wiping,preload,0.526008
wiping,stick_slip,0.599376
wiping,sliding_contact,0.519120
wiping,insertion,0.590920
wiping,jam,0.628112
wiping,release,0.556752
wiping,regrasp,0.554304
wiping,tool_change,0.569648
wiping,compliance_settling,0.563176
wiping,torque_ramp,0.570032
wiping,handoff_contact,0.552960
wiping,post_contact_retreat,0.429056
sliding,free_space_approach,0.300000
sliding,first_contact,0.542480
sliding,preload,0.560200
sliding,stick_slip,0.639760
sliding,sliding_contact,0.551360
sliding,insertion,0.632280
sliding,jam,0.671760
sliding,release,0.591920
sliding,regrasp,0.591120
sliding,tool_change,0.607440
sliding,compliance_settling,0.600600
sliding,torque_ramp,0.609440
sliding,handoff_contact,0.588800
sliding,post_contact_retreat,0.452240
pushing,free_space_approach,0.295200
pushing,first_contact,0.522960
pushing,preload,0.540440
pushing,stick_slip,0.616400
pushing,sliding_contact,0.532720
pushing,insertion,0.608360
pushing,jam,0.646480
pushing,release,0.571600
pushing,regrasp,0.569760
pushing,tool_change,0.585520
pushing,compliance_settling,0.579080
pushing,torque_ramp,0.586640
pushing,handoff_contact,0.568000
pushing,post_contact_retreat,0.438560
pulling,free_space_approach,0.297360
pulling,first_contact,0.531760
pulling,preload,0.549432
pulling,stick_slip,0.627024
pulling,sliding_contact,0.541200
pulling,insertion,0.619240
pulling,jam,0.657968
pulling,release,0.580848
pulling,regrasp,0.579456
pulling,tool_change,0.595472
pulling,compliance_settling,0.588904
pulling,torque_ramp,0.597008
pulling,handoff_contact,0.577440
pulling,post_contact_retreat,0.444704
regrasping,free_space_approach,0.313920
regrasping,first_contact,0.599120
regrasping,preload,0.617704
regrasping,stick_slip,0.707728
regrasping,sliding_contact,0.605600
regrasping,insertion,0.701880
regrasping,jam,0.745296
regrasping,release,0.651056
regrasping,regrasp,0.653232
regrasping,tool_change,0.671184
regrasping,compliance_settling,0.663288
regrasping,torque_ramp,0.675776
regrasping,handoff_contact,0.649280
regrasping,post_contact_retreat,0.491888
tool_use,free_space_approach,0.317040
tool_use,first_contact,0.611760
tool_use,preload,0.630248
tool_use,stick_slip,0.722576
tool_use,sliding_contact,0.617440
tool_use,insertion,0.717080
tool_use,jam,0.761392
tool_use,release,0.663952
tool_use,regrasp,0.666864
tool_use,tool_change,0.685168
tool_use,compliance_settling,0.676856
tool_use,torque_ramp,0.690272
tool_use,handoff_contact,0.662560
tool_use,post_contact_retreat,0.500816
force_probing,free_space_approach,0.306240
force_probing,first_contact,0.568080
force_probing,preload,0.587288
force_probing,stick_slip,0.671696
force_probing,sliding_contact,0.576880
force_probing,insertion,0.665000
force_probing,jam,0.706192
force_probing,release,0.619792
force_probing,regrasp,0.620064
force_probing,tool_change,0.637168
force_probing,compliance_settling,0.630536
force_probing,torque_ramp,0.640592
force_probing,handoff_contact,0.616960
force_probing,post_contact_retreat,0.469856
surface_following,free_space_approach,0.309360
surface_following,first_contact,0.580720
surface_following,preload,0.599832
surface_following,stick_slip,0.686544
surface_following,sliding_contact,0.588720
surface_following,insertion,0.680200
surface_following,jam,0.722288
surface_following,release,0.632688
surface_following,regrasp,0.633696
surface_following,tool_change,0.651152
surface_following,compliance_settling,0.644104
surface_following,torque_ramp,0.655088
surface_following,handoff_contact,0.630240
surface_following,post_contact_retreat,0.478784
fabric_drag,free_space_approach,0.322560
fabric_drag,first_contact,0.634320
fabric_drag,preload,0.653672
fabric_drag,stick_slip,0.750224
fabric_drag,sliding_contact,0.639520
fabric_drag,insertion,0.745400
fabric_drag,jam,0.791248
fabric_drag,release,0.688048
fabric_drag,regrasp,0.692016
fabric_drag,tool_change,0.710992
fabric_drag,compliance_settling,0.702584
fabric_drag,torque_ramp,0.717248
fabric_drag,handoff_contact,0.687040
fabric_drag,post_contact_retreat,0.516464
bin_picking,free_space_approach,0.309360
bin_picking,first_contact,0.580400
bin_picking,preload,0.597832
bin_picking,stick_slip,0.684304
bin_picking,sliding_contact,0.586880
bin_picking,insertion,0.677880
bin_picking,jam,0.720048
bin_picking,release,0.630608
bin_picking,regrasp,0.632016
bin_picking,tool_change,0.649392
bin_picking,compliance_settling,0.641304
bin_picking,torque_ramp,0.652928
bin_picking,handoff_contact,0.628640
bin_picking,post_contact_retreat,0.479024
handoff,free_space_approach,0.303600
handoff,first_contact,0.557040
handoff,preload,0.574520
handoff,stick_slip,0.656720
handoff,sliding_contact,0.564880
handoff,insertion,0.649640
handoff,jam,0.690160
handoff,release,0.606640
handoff,regrasp,0.606720
handoff,tool_change,0.623440
handoff,compliance_settling,0.616040
handoff,torque_ramp,0.626000
handoff,handoff_contact,0.604000
handoff,post_contact_retreat,0.462560
compliance_search,free_space_approach,0.325200
compliance_search,first_contact,0.645040
compliance_search,preload,0.664440
compliance_search,stick_slip,0.762960
compliance_search,sliding_contact,0.649680
compliance_search,insertion,0.758440
compliance_search,jam,0.805040
compliance_search,release,0.699120
compliance_search,regrasp,0.703680
compliance_search,tool_change,0.722960
compliance_search,compliance_settling,0.714280
compliance_search,torque_ramp,0.729680
compliance_search,handoff_contact,0.698400
compliance_search,post_contact_retreat,0.524000
torque_seating,free_space_approach,0.319320
torque_seating,first_contact,0.621120
torque_seating,preload,0.640184
torque_seating,stick_slip,0.734288
torque_seating,sliding_contact,0.626800
torque_seating,insertion,0.729080
torque_seating,jam,0.774016
torque_seating,release,0.674176
torque_seating,regrasp,0.677472
torque_seating,tool_change,0.696064
torque_seating,compliance_settling,0.687848
torque_seating,torque_ramp,0.701696
torque_seating,handoff_contact,0.672880
torque_seating,post_contact_retreat,0.507248
snap_fit,free_space_approach,0.327960
snap_fit,first_contact,0.656320
snap_fit,preload,0.676152
snap_fit,stick_slip,0.776784
snap_fit,sliding_contact,0.660720
snap_fit,insertion,0.772600
snap_fit,jam,0.819968
snap_fit,release,0.711168
snap_fit,regrasp,0.716256
snap_fit,tool_change,0.735872
snap_fit,compliance_settling,0.727144
snap_fit,torque_ramp,0.743168
snap_fit,handoff_contact,0.710640
snap_fit,post_contact_retreat,0.531824
valve_turning,free_space_approach,0.314040
valve_turning,first_contact,0.599680
valve_turning,preload,0.618648
valve_turning,stick_slip,0.708816
valve_turning,sliding_contact,0.606480
valve_turning,insertion,0.703000
valve_turning,jam,0.746432
valve_turning,release,0.652032
valve_turning,regrasp,0.654144
valve_turning,tool_change,0.672128
valve_turning,compliance_settling,0.664456
valve_turning,torque_ramp,0.676832
valve_turning,handoff_contact,0.650160
valve_turning,post_contact_retreat,0.492176
contact_rich_alignment,free_space_approach,0.330120
contact_rich_alignment,first_contact,0.665120
contact_rich_alignment,preload,0.685144
contact_rich_alignment,stick_slip,0.787408
contact_rich_alignment,sliding_contact,0.669200
contact_rich_alignment,insertion,0.783480
contact_rich_alignment,jam,0.831456
contact_rich_alignment,release,0.720416
contact_rich_alignment,regrasp,0.725952
contact_rich_alignment,tool_change,0.745824
contact_rich_alignment,compliance_settling,0.736968
contact_rich_alignment,torque_ramp,0.753536
contact_rich_alignment,handoff_contact,0.720080
contact_rich_alignment,post_contact_retreat,0.537968
release_placement,free_space_approach,0.292080
release_placement,first_contact,0.510320
release_placement,preload,0.527896
release_placement,stick_slip,0.601552
release_placement,sliding_contact,0.520880
release_placement,insertion,0.593160
release_placement,jam,0.630384
release_placement,release,0.558704
release_placement,regrasp,0.556128
release_placement,tool_change,0.571536
release_placement,compliance_settling,0.565512
release_placement,torque_ramp,0.572144
release_placement,handoff_contact,0.554720
release_placement,post_contact_retreat,0.429632
