name,count,overall_accuracy,switch_accuracy,stale_memory_error,missed_reset_rate,false_reset_rate,boundary_f1,retention_calibration,sequence_success,force_overshoot,lifecycle_score
delayed,221760,0.854934,0.794888,0.284893,0.274162,0.118565,0.661948,0.885640,0.755959,0.139587,0.661936
early,221760,0.862874,0.837394,0.239136,0.186777,0.226387,0.656317,0.855267,0.769111,0.116648,0.678307
exact,221760,0.877903,0.862227,0.233244,0.176431,0.099123,0.778959,0.891117,0.794969,0.113840,0.727801
false_positive,221760,0.853687,0.819921,0.247668,0.193473,0.294867,0.544781,0.835976,0.753379,0.119390,0.642605
hysteresis,221760,0.859901,0.817475,0.270921,0.223874,0.154387,0.660975,0.875549,0.764404,0.128806,0.672448
missed,221760,0.841226,0.748623,0.336127,0.327753,0.099123,0.548828,0.891117,0.732998,0.158191,0.615631
noisy_corrupted,221760,0.845460,0.780829,0.294208,0.259687,0.213907,0.557054,0.858782,0.739782,0.139095,0.626140
oracle,221760,0.879828,0.866799,0.230807,0.170579,0.091280,0.788655,0.893326,0.798263,0.112427,0.733275
