name,count,overall_accuracy,switch_accuracy,stale_memory_error,missed_reset_rate,false_reset_rate,boundary_f1,retention_calibration,sequence_success,force_overshoot,lifecycle_score
compliance_settling,15840,0.858047,0.813632,0.277985,0.226458,0.157107,0.641085,0.868892,0.760840,0.130594,0.665193
first_contact,15840,0.860816,0.817126,0.262110,0.227210,0.157106,0.640934,0.878129,0.766104,0.127632,0.671433
free_space_approach,15840,0.868224,0.832807,0.235958,0.204688,0.157106,0.645682,0.909142,0.781002,0.118950,0.690149
handoff_contact,15840,0.857790,0.813098,0.278922,0.227212,0.157107,0.640932,0.872850,0.760722,0.130897,0.665088
insertion,15840,0.857507,0.811746,0.277984,0.230962,0.157106,0.640137,0.864933,0.759583,0.131315,0.663488
jam,15840,0.854715,0.807450,0.291996,0.233217,0.157107,0.639661,0.862293,0.754768,0.134397,0.657753
post_contact_retreat,15840,0.862814,0.821919,0.256504,0.218951,0.157106,0.642670,0.891326,0.770538,0.125222,0.677123
preload,15840,0.859908,0.816499,0.268646,0.224957,0.157107,0.641401,0.874170,0.764330,0.128541,0.669397
regrasp,15840,0.858371,0.813674,0.275183,0.227959,0.157107,0.640768,0.871531,0.761564,0.130290,0.666015
release,15840,0.856961,0.812386,0.284523,0.225708,0.157106,0.641250,0.872851,0.759385,0.131745,0.663591
sliding_contact,15840,0.859249,0.816015,0.273317,0.223458,0.157107,0.641726,0.876810,0.763476,0.129208,0.668506
stick_slip,15840,0.855748,0.809607,0.288259,0.230213,0.157106,0.640300,0.866252,0.756814,0.133191,0.660318
tool_change,15840,0.857273,0.812021,0.280789,0.228712,0.157107,0.640610,0.870211,0.759647,0.131500,0.663735
torque_ramp,15840,0.858528,0.813496,0.273316,0.229461,0.157106,0.640457,0.867572,0.761485,0.130168,0.665804
