name,count,overall_accuracy,switch_accuracy,stale_memory_error,missed_reset_rate,false_reset_rate,boundary_f1,retention_calibration,sequence_success,force_overshoot,lifecycle_score
0.00,221760,0.861580,0.820954,0.269990,0.221178,0.142515,0.660880,0.878894,0.767290,0.128192,0.676104
0.05,221760,0.860290,0.818040,0.271620,0.223401,0.149811,0.651071,0.876838,0.765086,0.128867,0.671900
0.10,221760,0.858997,0.815105,0.273250,0.225655,0.157107,0.641258,0.874783,0.762876,0.129546,0.667685
0.20,221760,0.856398,0.809178,0.276511,0.230261,0.171699,0.621628,0.870672,0.758433,0.130922,0.659227
0.35,221760,0.852471,0.800144,0.281401,0.237412,0.193587,0.592167,0.864507,0.751720,0.133023,0.646465
