name,count,overall_accuracy,switch_accuracy,stale_memory_error,missed_reset_rate,false_reset_rate,boundary_f1,retention_calibration,sequence_success,force_overshoot,lifecycle_score
bin_picking,10080,0.859719,0.815949,0.268928,0.226080,0.157106,0.641150,0.874783,0.761600,0.142453,0.667974
cable_threading,10080,0.856470,0.810759,0.284757,0.229467,0.157105,0.640471,0.874783,0.755624,0.149401,0.661330
compliance_search,10080,0.856713,0.810928,0.283004,0.230087,0.157107,0.640342,0.874783,0.756927,0.144072,0.662156
contact_rich_alignment,10080,0.855772,0.809347,0.287388,0.231303,0.157104,0.640072,0.874784,0.753981,0.152895,0.659689
drawer_pull,10080,0.860589,0.818299,0.267168,0.221472,0.157104,0.642131,0.874784,0.767753,0.115420,0.671912
fabric_drag,10080,0.857135,0.811715,0.281234,0.229151,0.157106,0.640502,0.874783,0.755877,0.153401,0.662248
force_probing,10080,0.859734,0.816684,0.270685,0.223315,0.157105,0.641737,0.874783,0.765930,0.118623,0.670007
handoff,10080,0.860610,0.817692,0.265415,0.223932,0.157107,0.641601,0.874783,0.765850,0.126062,0.670990
latch_release,10080,0.858179,0.813991,0.277730,0.225788,0.157107,0.641250,0.874783,0.761401,0.131133,0.666062
peg_insertion,10080,0.857008,0.811958,0.283006,0.227632,0.157108,0.640858,0.874783,0.760128,0.128737,0.664017
pulling,10080,0.861540,0.819572,0.261908,0.221486,0.157110,0.642129,0.874782,0.769881,0.111178,0.673972
pushing,10080,0.861932,0.820255,0.260148,0.220872,0.157106,0.642287,0.874783,0.770716,0.109695,0.674838
regrasping,10080,0.858701,0.814448,0.274217,0.226712,0.157109,0.641047,0.874783,0.761812,0.132998,0.666819
release_placement,10080,0.862393,0.821182,0.258389,0.219640,0.157109,0.642513,0.874783,0.772086,0.105855,0.676040
sliding,10080,0.861113,0.818760,0.263655,0.222397,0.157104,0.641950,0.874784,0.768985,0.112723,0.673029
slot_insertion,10080,0.857710,0.813035,0.279475,0.227000,0.157105,0.640959,0.874783,0.761739,0.125524,0.665583
snap_fit,10080,0.856161,0.810023,0.285634,0.230692,0.157108,0.640177,0.874783,0.755325,0.148564,0.660765
surface_following,10080,0.859274,0.815767,0.272459,0.224561,0.157110,0.641495,0.874782,0.763431,0.128694,0.668313
tool_use,10080,0.858233,0.813495,0.275959,0.227923,0.157104,0.640778,0.874784,0.760387,0.137195,0.665580
torque_seating,10080,0.857726,0.812752,0.278609,0.228245,0.157107,0.640731,0.874783,0.759745,0.136604,0.664681
valve_turning,10080,0.858579,0.814367,0.275095,0.226404,0.157108,0.641117,0.874783,0.761833,0.131920,0.666699
wiping,10080,0.862634,0.821340,0.256625,0.220247,0.157107,0.642379,0.874783,0.772253,0.106872,0.676371
