name,count,overall_accuracy,switch_accuracy,stale_memory_error,missed_reset_rate,false_reset_rate,boundary_f1,retention_calibration,sequence_success,force_overshoot,lifecycle_score
exponential_decay,22176,0.841842,0.771409,0.311735,0.226585,0.184069,0.726141,0.847348,0.740304,0.142428,0.647434
flat_transformer,22176,0.803665,0.613199,0.525299,0.424269,0.084176,0.080847,0.925488,0.645338,0.228488,0.454266
full_trace_attention,22176,0.808282,0.611789,0.534105,0.419275,0.084178,0.095247,0.940687,0.643512,0.230999,0.457606
gru_memory,22176,0.854251,0.784005,0.302912,0.218985,0.182990,0.732758,0.878452,0.748637,0.137868,0.662373
hard_regime_reset,22176,0.874002,0.896353,0.167079,0.151341,0.171108,0.805433,0.826999,0.796081,0.105172,0.739231
hysteresis_reset,22176,0.877946,0.894678,0.176508,0.161483,0.172549,0.796633,0.852193,0.807853,0.092675,0.740811
learned_forget_gate,22176,0.877418,0.865027,0.213650,0.177754,0.175428,0.779017,0.880182,0.795294,0.102564,0.723713
learned_reset_classifier,22176,0.879689,0.887070,0.186376,0.166551,0.173269,0.792230,0.863990,0.806203,0.093826,0.737688
noisy_boundary_reset,22176,0.868337,0.865070,0.205677,0.172694,0.174710,0.783430,0.841584,0.786798,0.109784,0.717841
oracle_lifecycle_memory,22176,0.904533,0.962454,0.109154,0.137609,0.168590,0.820845,0.890908,0.858736,0.051661,0.795889
