name,count,overall_accuracy,switch_accuracy,stale_memory_error,missed_reset_rate,false_reset_rate,boundary_f1,retention_calibration,sequence_success,force_overshoot,lifecycle_score
exponential_decay|adversarial_stale_memory,2464,0.818339,0.742978,0.377369,0.247576,0.201501,0.693964,0.831238,0.710980,0.167855,0.606340
exponential_decay|boundary_flips,2464,0.853199,0.783866,0.283542,0.218327,0.176004,0.747306,0.856019,0.753263,0.129992,0.666927
exponential_decay|clean,2464,0.877231,0.810212,0.224561,0.201346,0.148575,0.783335,0.873347,0.781641,0.105068,0.707729
exponential_decay|delayed_boundary,2464,0.849966,0.769547,0.292025,0.242524,0.172101,0.712687,0.855520,0.746423,0.134571,0.653399
exponential_decay|force_drift,2464,0.829846,0.767030,0.336330,0.216672,0.205423,0.713964,0.846133,0.730323,0.153930,0.632781
exponential_decay|missing_boundary,2464,0.847168,0.771338,0.298226,0.234580,0.177959,0.720663,0.852268,0.744665,0.136995,0.652225
exponential_decay|object_stiffness_shift,2464,0.830597,0.764056,0.339763,0.223661,0.197561,0.717269,0.841946,0.729027,0.153872,0.631865
exponential_decay|phase_reordering,2464,0.836279,0.763272,0.328646,0.234728,0.185812,0.719580,0.838857,0.732367,0.148724,0.636670
exponential_decay|sensor_dropout,2464,0.833951,0.770381,0.325153,0.219852,0.191688,0.726499,0.830801,0.734045,0.150847,0.638973
flat_transformer|adversarial_stale_memory,2464,0.775621,0.571300,0.595683,0.478295,0.098381,0.060571,0.910285,0.608275,0.260111,0.405741
flat_transformer|boundary_flips,2464,0.814118,0.623428,0.501433,0.416190,0.077622,0.083899,0.933736,0.656721,0.216934,0.469165
flat_transformer|clean,2464,0.844872,0.670270,0.433514,0.351759,0.055177,0.108019,0.949655,0.696785,0.182669,0.522134
flat_transformer|delayed_boundary,2464,0.813090,0.613903,0.494632,0.443901,0.074408,0.073495,0.933040,0.653539,0.219091,0.463864
flat_transformer|force_drift,2464,0.793186,0.613186,0.551092,0.402848,0.101584,0.088867,0.925383,0.638088,0.238382,0.445614
flat_transformer|missing_boundary,2464,0.809069,0.612654,0.507240,0.437861,0.079212,0.075763,0.930087,0.649676,0.223064,0.459248
flat_transformer|object_stiffness_shift,2464,0.791737,0.603973,0.556848,0.423997,0.095196,0.080947,0.920783,0.632897,0.241037,0.438545
flat_transformer|phase_reordering,2464,0.795409,0.597363,0.545903,0.449788,0.085621,0.071299,0.917082,0.632735,0.238290,0.437573
flat_transformer|sensor_dropout,2464,0.795880,0.612717,0.541350,0.413786,0.090382,0.084763,0.909338,0.639331,0.236813,0.446510
full_trace_attention|adversarial_stale_memory,2464,0.780240,0.569892,0.604497,0.473309,0.098386,0.074971,0.925484,0.606445,0.262619,0.409079
full_trace_attention|boundary_flips,2464,0.818729,0.622008,0.510202,0.411159,0.077609,0.098299,0.948938,0.654914,0.219436,0.472515
full_trace_attention|clean,2464,0.849497,0.668873,0.442367,0.346812,0.055198,0.122419,0.964851,0.694932,0.185195,0.525463
