name,count,overall_accuracy,switch_accuracy,stale_memory_error,missed_reset_rate,false_reset_rate,boundary_f1,retention_calibration,sequence_success,force_overshoot,lifecycle_score
full_trace_attention|delayed_boundary,2464,0.817694,0.612471,0.503361,0.438829,0.074380,0.087895,0.948246,0.651758,0.221567,0.467225
full_trace_attention|force_drift,2464,0.797801,0.611773,0.559886,0.397843,0.101582,0.103267,0.940583,0.636269,0.240882,0.448958
full_trace_attention|missing_boundary,2464,0.813688,0.611248,0.516063,0.432883,0.079221,0.090163,0.945285,0.647838,0.225590,0.462583
full_trace_attention|object_stiffness_shift,2464,0.796363,0.602579,0.565714,0.419062,0.095222,0.095347,0.935978,0.631034,0.243577,0.441869
full_trace_attention|phase_reordering,2464,0.800014,0.595931,0.554634,0.444718,0.085593,0.085699,0.932288,0.630951,0.240772,0.440933
full_trace_attention|sensor_dropout,2464,0.800508,0.611326,0.550225,0.408861,0.090412,0.099163,0.924532,0.637464,0.239352,0.449832
gru_memory|adversarial_stale_memory,2464,0.830960,0.755749,0.367647,0.239594,0.200424,0.700599,0.862342,0.719658,0.163057,0.621640
gru_memory|boundary_flips,2464,0.865757,0.796823,0.273807,0.210764,0.174919,0.753882,0.887124,0.761858,0.125261,0.682198
gru_memory|clean,2464,0.889438,0.822704,0.216575,0.194293,0.147502,0.789974,0.904449,0.789612,0.100756,0.722326
gru_memory|delayed_boundary,2464,0.861972,0.781287,0.285448,0.234752,0.171012,0.719327,0.886626,0.754131,0.130418,0.667513
gru_memory|force_drift,2464,0.842289,0.779766,0.327214,0.209226,0.204343,0.720546,0.877237,0.738711,0.149333,0.647808
gru_memory|missing_boundary,2464,0.859416,0.783582,0.290376,0.226884,0.176881,0.727310,0.883372,0.752730,0.132613,0.666820
gru_memory|object_stiffness_shift,2464,0.843142,0.776903,0.330253,0.216085,0.196488,0.723895,0.873049,0.737556,0.149185,0.647061
gru_memory|phase_reordering,2464,0.848827,0.776021,0.319087,0.226911,0.184723,0.726158,0.869963,0.740965,0.143985,0.651878
gru_memory|sensor_dropout,2464,0.846462,0.783211,0.315801,0.212357,0.190617,0.733133,0.861904,0.742511,0.146202,0.654110
hard_regime_reset|adversarial_stale_memory,2464,0.854438,0.872415,0.213811,0.167614,0.188526,0.773280,0.810892,0.773318,0.126181,0.705339
hard_regime_reset|boundary_flips,2464,0.885499,0.910524,0.137807,0.143847,0.163059,0.826492,0.835667,0.809196,0.092644,0.759323
hard_regime_reset|clean,2464,0.904730,0.930073,0.101499,0.132312,0.135601,0.862487,0.853001,0.829758,0.072979,0.791151
hard_regime_reset|delayed_boundary,2464,0.880865,0.890005,0.155529,0.165591,0.159141,0.792672,0.835171,0.800141,0.098653,0.742142
hard_regime_reset|force_drift,2464,0.861221,0.891704,0.194684,0.143229,0.192449,0.792832,0.825787,0.784840,0.117539,0.723309
hard_regime_reset|missing_boundary,2464,0.878984,0.894607,0.156389,0.158213,0.165011,0.800290,0.831917,0.799841,0.100116,0.743041
hard_regime_reset|object_stiffness_shift,2464,0.863545,0.890664,0.190744,0.148455,0.184602,0.796341,0.821597,0.786084,0.115767,0.725275
hard_regime_reset|phase_reordering,2464,0.870610,0.891027,0.173524,0.157327,0.172864,0.798980,0.818505,0.791678,0.109101,0.732489
hard_regime_reset|sensor_dropout,2464,0.866129,0.896154,0.179726,0.145485,0.178719,0.805520,0.810454,0.789870,0.113570,0.731013
hysteresis_reset|adversarial_stale_memory,2464,0.857700,0.869989,0.226799,0.178314,0.189979,0.764527,0.836083,0.783922,0.114465,0.705649
hysteresis_reset|boundary_flips,2464,0.889512,0.908705,0.146770,0.153861,0.164486,0.817648,0.860864,0.821135,0.080033,0.761006
hysteresis_reset|clean,2464,0.909528,0.929331,0.106749,0.141797,0.137052,0.853743,0.878192,0.842896,0.059572,0.794265
hysteresis_reset|delayed_boundary,2464,0.884803,0.888736,0.164863,0.175923,0.160582,0.783804,0.860365,0.811902,0.086161,0.743808
hysteresis_reset|force_drift,2464,0.865365,0.890178,0.203249,0.153207,0.193901,0.784121,0.850979,0.796898,0.104850,0.725216
hysteresis_reset|missing_boundary,2464,0.882878,0.893040,0.165893,0.168441,0.166440,0.791409,0.857113,0.811575,0.087646,0.744593
hysteresis_reset|object_stiffness_shift,2464,0.867406,0.888787,0.200596,0.158576,0.186039,0.787547,0.846792,0.797735,0.103352,0.726686
hysteresis_reset|phase_reordering,2464,0.874187,0.888884,0.184739,0.167682,0.174295,0.790133,0.843701,0.802881,0.096979,0.733400
hysteresis_reset|sensor_dropout,2464,0.870137,0.894447,0.188913,0.155542,0.180165,0.796767,0.835647,0.801729,0.101018,0.732677
learned_forget_gate|adversarial_stale_memory,2464,0.856149,0.839108,0.268773,0.195571,0.192842,0.746819,0.864076,0.769736,0.125445,0.686699
learned_forget_gate|boundary_flips,2464,0.889072,0.878865,0.183695,0.170037,0.167382,0.800147,0.888849,0.808656,0.089873,0.743966
learned_forget_gate|clean,2464,0.910187,0.901021,0.138106,0.156632,0.139919,0.836087,0.906184,0.832347,0.068105,0.779350
learned_forget_gate|delayed_boundary,2464,0.884379,0.859819,0.201143,0.192555,0.163458,0.766027,0.888354,0.799523,0.095941,0.727052
learned_forget_gate|force_drift,2464,0.865063,0.860650,0.239252,0.169009,0.196764,0.766508,0.878971,0.784776,0.114442,0.708536
learned_forget_gate|missing_boundary,2464,0.882366,0.863687,0.202934,0.185034,0.169336,0.773811,0.885098,0.798976,0.097567,0.727559
learned_forget_gate|object_stiffness_shift,2464,0.866744,0.858835,0.238566,0.174877,0.188927,0.770018,0.874779,0.784925,0.113405,0.709292
learned_forget_gate|phase_reordering,2464,0.873147,0.858577,0.224489,0.184472,0.177183,0.772548,0.871688,0.789442,0.107464,0.715329
learned_forget_gate|sensor_dropout,2464,0.869656,0.864683,0.225890,0.171604,0.183040,0.779184,0.863637,0.789264,0.110837,0.715633
learned_reset_classifier|adversarial_stale_memory,2464,0.859113,0.861994,0.238138,0.183582,0.190680,0.760033,0.847885,0.781802,0.115925,0.701958
learned_reset_classifier|boundary_flips,2464,0.891284,0.901041,0.156654,0.158942,0.165221,0.813324,0.872658,0.819474,0.081200,0.757884
learned_reset_classifier|clean,2464,0.911623,0.922078,0.114816,0.146491,0.137764,0.849308,0.889991,0.841859,0.060305,0.791791
learned_reset_classifier|delayed_boundary,2464,0.886586,0.881373,0.174276,0.181021,0.161285,0.779285,0.872166,0.810384,0.087229,0.740842
learned_reset_classifier|force_drift,2464,0.867150,0.882541,0.212738,0.158093,0.194599,0.779636,0.862781,0.795404,0.105891,0.722198
learned_reset_classifier|missing_boundary,2464,0.884662,0.885602,0.175730,0.173658,0.167184,0.787101,0.868905,0.809899,0.088821,0.741525
learned_reset_classifier|object_stiffness_shift,2464,0.869122,0.881119,0.210816,0.163719,0.186780,0.783249,0.858585,0.795963,0.104585,0.723465
learned_reset_classifier|phase_reordering,2464,0.875768,0.881077,0.195417,0.172865,0.175014,0.785723,0.855499,0.800967,0.098313,0.729978
learned_reset_classifier|sensor_dropout,2464,0.871895,0.886803,0.198795,0.160589,0.180891,0.792407,0.847443,0.800080,0.102163,0.729555
noisy_boundary_reset|adversarial_stale_memory,2464,0.847559,0.839754,0.258439,0.190317,0.192144,0.751326,0.825474,0.761973,0.132176,0.681703
noisy_boundary_reset|boundary_flips,2464,0.879805,0.878749,0.176478,0.164921,0.166639,0.804434,0.850257,0.799954,0.097225,0.737814
noisy_boundary_reset|clean,2464,0.900536,0.900430,0.133276,0.152003,0.139223,0.840595,0.867582,0.822829,0.076009,0.772388
noisy_boundary_reset|delayed_boundary,2464,0.875510,0.859929,0.191969,0.187374,0.162731,0.770438,0.849759,0.791410,0.102900,0.721553
noisy_boundary_reset|force_drift,2464,0.855823,0.860561,0.232248,0.164113,0.196063,0.770977,0.840370,0.775958,0.121874,0.702348
noisy_boundary_reset|missing_boundary,2464,0.873389,0.863762,0.194269,0.179846,0.168601,0.778164,0.846504,0.790714,0.104634,0.721894
noisy_boundary_reset|object_stiffness_shift,2464,0.857661,0.858920,0.230608,0.169812,0.188209,0.774419,0.836181,0.776425,0.120634,0.703425
noisy_boundary_reset|phase_reordering,2464,0.864254,0.858833,0.215325,0.179211,0.176442,0.776859,0.833096,0.781345,0.114410,0.709851
noisy_boundary_reset|sensor_dropout,2464,0.860495,0.864696,0.218481,0.166645,0.182338,0.783655,0.825036,0.780577,0.118191,0.709595
oracle_lifecycle_memory|adversarial_stale_memory,2464,0.885403,0.939953,0.154136,0.152997,0.186014,0.788735,0.874800,0.836674,0.072185,0.762987
oracle_lifecycle_memory|boundary_flips,2464,0.916356,0.977796,0.077831,0.130191,0.160526,0.841802,0.899579,0.872443,0.038748,0.816812
oracle_lifecycle_memory|clean,2464,0.934872,0.988617,0.045094,0.119868,0.133100,0.877967,0.916906,0.891693,0.019966,0.845383
oracle_lifecycle_memory|delayed_boundary,2464,0.910498,0.955353,0.102579,0.151447,0.156600,0.808094,0.899085,0.861419,0.046036,0.797245
oracle_lifecycle_memory|force_drift,2464,0.891833,0.959009,0.136068,0.129859,0.189931,0.808181,0.889696,0.847624,0.063943,0.780389
oracle_lifecycle_memory|missing_boundary,2464,0.909158,0.960987,0.100617,0.144253,0.162494,0.815757,0.895825,0.861907,0.046996,0.799193
oracle_lifecycle_memory|object_stiffness_shift,2464,0.894373,0.958254,0.131337,0.134784,0.182102,0.811791,0.885503,0.849159,0.061986,0.782719
oracle_lifecycle_memory|phase_reordering,2464,0.901417,0.958425,0.114097,0.143075,0.170320,0.814282,0.882420,0.854889,0.055211,0.789934
oracle_lifecycle_memory|sensor_dropout,2464,0.896890,0.963693,0.120627,0.132010,0.176224,0.820995,0.874359,0.852813,0.059876,0.788335
